Practices;Funding;Co-funding;Co-funding of field activities;Co-funding of programmes/initiatives (not necc in field);Funding of activities of one IO through another IO;Common procurement by one IO for another;Funding for research;Knowledge production and diffusion;Research and Communication;Provision of technical expertise;IOs provide knowledge to non-IO third party;Assistance for funding applications to other IO;Joint workshops, trainings for third party;One IO carries out workshop/training for joint initiative;Joint (programmes for) provision of technical expertise to govs;Joint publications or contributions to publications;Data collection field missions;Common initiatives for research/generating new knowledge;Joint advocacy efforts;Platforms for data sharing;Knowledge provision;Provision of strategic analysis;Expert groups working across IOs;Legal relations;IOs sit on board/steering group of another IO;One IO/initiative hosts another IO/initiative;One or more IOs/initiatives found another IO/initiative;Formal cooperation agreements;Agreement that one/several IOs act as trustee of another IO;MoU on divisions of labor in specific fields;IOs conclude agreement to establish funding mechanism;Management-related relationships;Joint management unit;Permanent secondment of staff;Common administrative services;High-level inter‐agency coordination mechanisms;Coordination of standard management processes;Coordination of programming cycles;Budget harmonization;Common human resources management;Harmonized/common procurement systems;Temporary secondment of staff;Monitoring & Evaluation;Review mission;Joint monitoring & evaluation (M&E);IO monitors and evaluates on behalf of another (div. of labor);Operative Activities;One IO field office coordinates activities of other IOs;Joint crisis mission;Joint mission headed by one IO;Programming mission;Common field exercises;Shared field facilities and services;Inter-agency initiatives/programmes;Inter-agency initiatives/programmes with one IO as implementer;Common operative initiative using market instruments;Issue-specific or thematic programme;Local operative initiative/issue specific or thematic programme;Joint missions;Policy-related interactions;Common positions, statements, reports;Consultations with implementation goal;Board meetings, with representatives from other IOs;Joint policies/strategies;Policy harmonization principles;Consultations;Stakeholder dialogue;Ad-hoc, spontaneous or one-off consulations between IOs;Regular informal consultations;Consultations with goal of developing joint policies/strategies;Forums for inter‐agency dialogue;Standard Setting;Common drug qualification procedures;Common treatment guidelines;Common assessment/criteria for funding/ allocation of grants;Common (instruments for) market analysis;Common assessment/criteria for programme implementation;Joint systems forMonitoring & Evaluation (M&E)
Year;FUND;FUND1;FUND2;FUND3;FUND4;FUND5;FUND6;KNOW;KNOW1;KNOW10;KNOW11;KNOW12;KNOW13;KNOW14;KNOW15;KNOW2;KNOW3;KNOW4;KNOW5;KNOW6;KNOW7;KNOW8;KNOW9;LEGA;LEGA1;LEGA2;LEGA3;LEGA4;LEGA5;LEGA6;LEGA7;MANA;MANA1;MANA10;MANA2;MANA3;MANA4;MANA5;MANA6;MANA7;MANA8;MANA9;MONI;MONI1;MONI2;MONI3;OPER;OPER1;OPER10;OPER11;OPER12;OPER2;OPER3;OPER4;OPER5;OPER6;OPER7;OPER8;OPER9;POLI;POLI1;POLI10;POLI11;POLI2;POLI3;POLI4;POLI5;POLI6;POLI7;POLI8;POLI9;STAN;STAN1;STAN2;STAN3;STAN4;STAN5;STAN6
1970;0;0;32;5;30;1;0;0;0;8;0;16;88;1;43;1;21;27;0;0;0;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;7;1;1;0;7;0;4;331;0;0;0;1;0;0;0;0;1;7;0;0;14;0;0;0;0;0;0;0
1971;0;0;70;6;48;0;3;0;0;17;0;26;102;1;91;1;27;28;0;1;0;2;15;0;0;0;0;0;0;5;0;0;0;0;1;2;0;0;0;0;0;3;0;6;7;0;0;0;2;1;11;0;0;0;10;0;20;339;0;0;0;8;3;0;1;0;0;12;5;7;16;0;1;0;1;0;2;0
1972;0;0;37;2;28;4;0;0;0;14;0;22;86;3;93;2;19;46;4;0;0;6;8;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;17;11;1;0;0;3;0;9;0;2;0;14;1;18;355;0;0;0;7;4;0;0;0;0;3;5;7;20;0;0;0;2;0;0;0
1973;0;0;30;1;14;9;0;0;0;21;0;9;99;2;114;2;16;30;1;0;0;5;10;0;1;0;1;0;0;3;0;0;2;1;1;2;0;4;7;0;0;4;0;3;10;3;0;0;3;1;22;0;1;0;8;0;27;402;0;0;0;3;0;0;1;0;1;28;2;4;17;0;0;0;1;0;0;0
1974;0;0;45;5;32;8;3;0;0;17;0;13;99;1;95;2;28;39;5;0;0;1;13;0;5;0;1;0;2;2;0;0;0;4;1;1;0;3;6;0;2;1;0;4;9;2;0;0;11;1;20;0;3;0;20;0;31;380;0;0;0;0;0;6;0;0;0;12;1;3;20;0;0;0;3;0;0;0
1975;0;0;19;22;37;9;5;0;0;20;0;11;100;6;67;6;20;25;4;0;0;5;23;0;9;0;3;0;0;6;3;0;0;2;3;1;0;1;0;0;0;0;0;10;10;2;0;0;9;3;24;0;1;0;23;0;50;423;0;0;0;2;0;7;4;0;2;39;4;9;25;0;1;0;2;0;0;0
1976;0;0;3;1;11;1;0;0;0;8;0;0;4;1;4;2;0;9;0;0;0;8;2;0;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;5;0;1;7;0;0;1;5;2;3;0;0;0;9;0;9;18;0;0;0;1;5;4;0;0;0;9;1;1;0;0;0;0;0;0;0;2
1977;0;0;12;0;13;6;1;0;0;4;0;3;8;1;5;5;5;17;2;0;0;2;7;0;3;0;0;0;0;1;0;0;0;1;1;5;0;1;1;0;1;0;0;0;3;1;0;3;3;1;1;0;0;0;6;0;17;17;0;0;0;0;2;7;1;0;2;4;1;6;5;0;1;1;2;0;0;0
1978;0;0;8;0;5;1;3;0;0;9;0;0;3;4;2;0;0;8;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;5;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;4;0;14;17;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
1979;0;0;13;0;5;5;2;0;0;6;0;0;7;1;3;5;2;8;1;0;0;0;8;0;1;0;2;0;2;0;0;0;0;1;2;0;0;1;1;0;1;0;0;1;3;0;0;1;1;0;2;0;1;0;9;0;12;13;0;0;0;0;0;8;0;0;6;11;0;0;5;0;0;0;1;0;0;1
1980;0;0;7;0;9;2;1;0;0;9;0;0;9;6;2;0;1;11;0;0;0;4;1;0;1;0;0;0;2;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;2;3;0;0;0;0;12;0;14;35;0;0;0;2;0;7;0;0;0;10;1;2;1;0;0;0;0;0;0;0
1981;0;0;15;5;20;14;2;0;0;16;0;0;11;5;8;5;2;7;2;0;0;4;13;0;2;0;1;0;1;2;0;0;0;0;1;3;0;1;0;0;4;0;0;1;11;0;0;0;0;2;1;0;0;0;16;0;26;37;0;0;0;6;0;6;0;0;2;13;0;6;4;0;1;0;0;0;1;0
1982;0;0;8;0;20;20;1;0;0;14;0;0;6;8;6;2;0;9;1;0;0;5;6;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;2;0;0;1;2;0;0;0;0;0;1;0;0;0;37;0;13;45;0;0;0;4;0;6;0;0;0;5;0;2;3;0;0;0;0;0;0;0
1983;0;0;29;2;32;19;0;0;0;9;0;0;19;9;9;4;4;9;0;1;0;4;16;0;3;0;0;0;0;2;1;0;0;0;2;4;0;1;1;0;1;0;0;0;8;0;0;0;9;0;1;0;0;0;35;0;27;54;0;0;0;6;0;5;1;0;1;11;1;5;4;0;0;0;0;0;0;0
1984;0;0;10;8;11;4;1;0;0;5;0;0;14;5;9;5;4;9;5;0;0;1;8;0;1;0;0;0;2;0;0;0;0;1;1;3;0;0;0;0;0;0;0;1;11;0;0;0;8;0;4;0;0;0;17;0;18;47;0;0;0;5;0;5;0;0;0;10;0;4;2;0;0;0;0;0;0;3
1985;0;0;13;7;12;4;0;0;0;7;0;0;20;5;20;9;2;9;5;0;0;2;15;0;5;0;0;0;0;0;0;0;0;0;2;6;0;0;1;0;0;0;0;5;11;1;0;0;2;1;2;0;0;0;17;0;29;46;0;0;0;11;0;5;0;0;2;24;0;5;4;0;0;0;4;0;1;0
1986;0;0;12;3;35;12;3;0;0;1;0;0;5;10;12;1;9;18;0;0;0;3;12;0;1;0;0;0;2;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0;5;0;0;0;6;0;1;0;0;0;43;0;26;52;0;0;0;12;1;3;1;0;0;14;1;4;5;0;0;0;2;0;0;1
1987;0;0;19;7;5;6;2;0;0;6;0;1;14;0;13;1;7;10;4;0;0;1;14;0;1;0;0;0;2;2;1;0;0;0;1;5;0;1;1;0;0;0;0;1;7;2;0;0;11;1;0;0;2;0;11;0;35;41;0;0;0;8;0;22;0;0;6;25;6;1;7;0;2;0;3;0;0;3
1988;0;0;8;3;7;9;0;0;0;4;0;0;8;4;8;5;1;11;5;1;0;5;11;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;1;0;0;0;0;1;8;0;0;1;0;1;1;0;0;0;4;0;20;32;0;0;0;3;3;21;0;0;0;17;3;2;4;0;0;0;3;0;0;2
