Year,KNOW,OPER,FUND,MONI,MANA,POLI,LEGA,STAN
1970,223,351,68,12,0,23,0,0
1971,311,383,127,13,6,52,5,4
1972,303,402,71,29,4,46,3,2
1973,309,464,54,16,21,56,5,1
1974,313,466,93,15,18,42,10,3
1975,287,533,92,22,7,92,21,3
1976,38,47,16,8,8,21,4,2
1977,59,48,32,4,10,28,4,4
1978,28,36,17,1,8,4,2,0
1979,41,39,25,4,6,30,5,2
1980,43,66,19,1,5,23,4,0
1981,73,82,56,12,9,37,6,2
1982,57,96,49,3,6,20,1,0
1983,84,126,82,8,9,34,6,0
1984,65,94,34,12,5,26,3,3
1985,94,97,36,17,9,51,5,5
1986,71,128,65,5,5,41,3,3
1987,71,101,39,10,8,75,6,8
1988,63,59,27,9,4,53,2,5
1989,86,67,56,14,3,80,3,4
1990,69,56,27,11,6,63,1,1
1991,105,94,43,12,20,92,2,1
1992,76,99,25,3,8,63,7,1
1993,80,64,12,9,2,29,0,3
1994,40,34,10,0,8,27,3,0
1995,50,46,15,7,6,31,2,2
1996,24,32,9,4,4,11,10,2
1997,86,54,27,9,18,80,14,9
1998,61,82,21,8,26,84,26,8
1999,87,67,5,3,13,79,6,13
2000,8,14,7,0,6,32,15,2
2001,68,41,17,1,12,48,10,5
2002,57,52,27,11,11,38,33,8
2003,81,43,19,9,12,66,32,17
2004,70,55,20,9,6,70,32,16
2005,64,30,18,16,5,79,21,10
2006,41,25,18,12,14,38,29,10
2007,56,39,19,2,13,26,30,18
2008,39,43,16,1,12,25,16,16
2009,25,44,19,1,19,35,21,6
2010,32,37,21,1,3,30,19,5
2011,13,33,10,0,2,30,8,11
2012,15,28,17,0,3,24,17,8
2013,17,41,15,5,1,22,5,19
