Source,Year,Weight,Target
GAVI,2001,2,GAVI-UNICEF-2001
GAVI,2001,2,GAVI-WHO-2001
GAVI,2001,2,GAVI-WB-2001
GAVI,2002,6,GAVI-UNICEF-2002
GAVI,2002,4,GAVI-WHO-2002
GAVI,2002,1,GAVI-WB-2002
GAVI,2003,11,GAVI-UNICEF-2003
GAVI,2003,9,GAVI-WHO-2003
GAVI,2003,1,GAVI-WB-2003
GAVI,2004,18,GAVI-WHO-2004
GAVI,2004,7,GAVI-UNICEF-2004
GAVI,2004,5,GAVI-WB-2004
GAVI,2005,11,GAVI-WHO-2005
GAVI,2005,9,GAVI-UNICEF-2005
GAVI,2005,5,GAVI-WB-2005
GAVI,2006,21,GAVI-WHO-2006
GAVI,2006,14,GAVI-UNICEF-2006
GAVI,2006,12,GAVI-WB-2006
GAVI,2006,2,GAVI-GF-2006
GAVI,2007,44,GAVI-WHO-2007
GAVI,2007,25,GAVI-UNICEF-2007
GAVI,2007,22,GAVI-WB-2007
GAVI,2007,10,GAVI-GF-2007
GAVI,2007,3,GAVI-UNFPA-2007
GAVI,2008,40,GAVI-WHO-2008
GAVI,2008,29,GAVI-UNICEF-2008
GAVI,2008,18,GAVI-WB-2008
GAVI,2008,3,GAVI-UNAIDS-2008
GAVI,2009,31,GAVI-WHO-2009
GAVI,2009,23,GAVI-WB-2009
GAVI,2009,13,GAVI-GF-2009
GAVI,2009,13,GAVI-UNICEF-2009
GAVI,2010,12,GAVI-WHO-2010
GAVI,2010,11,GAVI-WB-2010
GAVI,2010,4,GAVI-GF-2010
GAVI,2010,2,GAVI-UNICEF-2010
GAVI,2011,19,GAVI-WHO-2011
GAVI,2011,9,GAVI-UNICEF-2011
GAVI,2011,5,GAVI-GF-2011
GAVI,2011,2,GAVI-WB-2011
GAVI,2012,15,GAVI-WHO-2012
GAVI,2012,9,GAVI-UNICEF-2012
GAVI,2012,5,GAVI-WB-2012
GAVI,2013,29,GAVI-WHO-2013
GAVI,2013,17,GAVI-UNICEF-2013
GAVI,2013,8,GAVI-WB-2013
GAVI,2013,2,GAVI-UNAIDS-2013
GAVI,2013,2,GAVI-UNFPA-2013
GAVI,2014,29,GAVI-WHO-2014
GAVI,2014,17,GAVI-UNICEF-2014
GAVI,2014,5,GAVI-WB-2014
GAVI,2014,1,GAVI-GF-2014
GAVI,2015,30,GAVI-WHO-2015
GAVI,2015,27,GAVI-UNICEF-2015
GAVI,2015,5,GAVI-WB-2015
GAVI,2015,2,GAVI-GF-2015
GAVI,2016,23,GAVI-WHO-2016
GAVI,2016,20,GAVI-UNICEF-2016
GAVI,2016,5,GAVI-WB-2016
GAVI,2016,2,GAVI-UNFPA-2016
GAVI,2017,22,GAVI-WHO-2017
GAVI,2017,15,GAVI-UNICEF-2017
GAVI,2017,14,GAVI-GF-2017
GAVI,2017,10,GAVI-WB-2017
GAVI,2017,2,GAVI-UNDP-2017
GF,2002,25,GF-WHO-2002
GF,2002,23,GF-WB-2002
GF,2002,14,GF-UNAIDS-2002
GF,2002,2,GF-UNICEF-2002
GF,2003,19,GF-WHO-2003
GF,2003,12,GF-WB-2003
GF,2003,11,GF-UNAIDS-2003
GF,2003,1,GF-UNICEF-2003
GF,2004,26,GF-WHO-2004
GF,2004,11,GF-UNAIDS-2004
GF,2004,9,GF-WB-2004
GF,2004,2,GF-UNICEF-2004
GF,2005,27,GF-WHO-2005
GF,2005,27,GF-WB-2005
GF,2005,17,GF-UNAIDS-2005
GF,2006,15,GF-WHO-2006
GF,2006,12,GF-WB-2006
GF,2006,2,GF-UNAIDS-2006
GF,2007,16,GF-WHO-2007
GF,2007,4,GF-WB-2007
GF,2007,3,GF-UNAIDS-2007
GF,2008,9,GF-WHO-2008
GF,2008,3,GF-WB-2008
GF,2008,1,GF-UNAIDS-2008
GF,2009,6,GF-WB-2009
GF,2009,4,GF-WHO-2009
GF,2009,1,GF-GAVI-2009
GF,2010,6,GF-WB-2010
GF,2010,3,GF-WHO-2010
GF,2010,1,GF-UNAIDS-2010
GF,2011,2,GF-WB-2011
GF,2011,1,GF-WHO-2011
GF,2011,1,GF-UNAIDS-2011
GF,2012,4,GF-WB-2012
GF,2012,1,GF-WHO-2012
GF,2012,1,GF-UNAIDS-2012
GF,2013,1,GF-WB-2013
GF,2014,4,GF-WB-2014
GF,2014,1,GF-UNAIDS-2014
GF,2015,6,GF-UNFPA-2015
GF,2015,5,GF-UNAIDS-2015
GF,2015,3,GF-GAVI-2015
GF,2015,3,GF-UNICEF-2015
GF,2015,1,GF-WHO-2015
GF,2015,1,GF-UNDP-2015
GF,2016,8,GF-UNICEF-2016
GF,2016,5,GF-WHO-2016
GF,2016,5,GF-UNAIDS-2016
GF,2016,2,GF-UNDP-2016
GF,2016,1,GF-WB-2016
GF,2016,1,GF-UNFPA-2016
GF,2017,11,GF-WHO-2017
GF,2017,7,GF-UNAIDS-2017
GF,2017,1,GF-GAVI-2017
GF,2017,1,GF-UNICEF-2017
GF,2017,1,GF-UNDP-2017
UNAIDS,1996,8,UNAIDS-WHO-1996
UNAIDS,1996,2,UNAIDS-UNDP-1996
UNAIDS,1996,2,UNAIDS-UNICEF-1996
UNAIDS,1996,1,UNAIDS-WB-1996
UNAIDS,1996,1,UNAIDS-UNFPA-1996
UNAIDS,1997,49,UNAIDS-WHO-1997
UNAIDS,1997,21,UNAIDS-UNICEF-1997
UNAIDS,1997,18,UNAIDS-WB-1997
UNAIDS,1997,13,UNAIDS-UNDP-1997
UNAIDS,1997,8,UNAIDS-UNFPA-1997
UNAIDS,1998,5,UNAIDS-WHO-1998
UNAIDS,1998,1,UNAIDS-UNICEF-1998
UNAIDS,1999,63,UNAIDS-WHO-1999
UNAIDS,1999,35,UNAIDS-UNICEF-1999
UNAIDS,1999,33,UNAIDS-UNDP-1999
UNAIDS,1999,27,UNAIDS-UNFPA-1999
UNAIDS,1999,21,UNAIDS-WB-1999
UNAIDS,2000,11,UNAIDS-WHO-2000
UNAIDS,2000,6,UNAIDS-UNICEF-2000
UNAIDS,2000,6,UNAIDS-WB-2000
UNAIDS,2000,5,UNAIDS-UNFPA-2000
UNAIDS,2000,1,UNAIDS-UNDP-2000
UNAIDS,2001,60,UNAIDS-WHO-2001
UNAIDS,2001,22,UNAIDS-UNICEF-2001
UNAIDS,2001,19,UNAIDS-WB-2001
UNAIDS,2001,17,UNAIDS-UNDP-2001
UNAIDS,2001,10,UNAIDS-UNFPA-2001
UNAIDS,2001,1,UNAIDS-GF-2001
UNAIDS,2002,32,UNAIDS-WHO-2002
UNAIDS,2002,13,UNAIDS-UNICEF-2002
UNAIDS,2002,10,UNAIDS-UNFPA-2002
UNAIDS,2002,7,UNAIDS-WB-2002
UNAIDS,2002,4,UNAIDS-UNDP-2002
UNAIDS,2002,3,UNAIDS-GF-2002
UNAIDS,2003,39,UNAIDS-WHO-2003
UNAIDS,2003,22,UNAIDS-UNICEF-2003
UNAIDS,2003,16,UNAIDS-WB-2003
UNAIDS,2003,15,UNAIDS-UNFPA-2003
UNAIDS,2003,13,UNAIDS-UNDP-2003
UNAIDS,2003,10,UNAIDS-GF-2003
UNAIDS,2004,35,UNAIDS-WHO-2004
UNAIDS,2004,14,UNAIDS-UNDP-2004
UNAIDS,2004,14,UNAIDS-GF-2004
UNAIDS,2004,13,UNAIDS-WB-2004
UNAIDS,2004,9,UNAIDS-UNICEF-2004
UNAIDS,2004,9,UNAIDS-UNFPA-2004
UNAIDS,2005,22,UNAIDS-WHO-2005
UNAIDS,2005,20,UNAIDS-WB-2005
UNAIDS,2005,19,UNAIDS-GF-2005
UNAIDS,2005,9,UNAIDS-UNICEF-2005
UNAIDS,2005,3,UNAIDS-UNDP-2005
UNAIDS,2005,3,UNAIDS-UNFPA-2005
UNAIDS,2006,16,UNAIDS-WHO-2006
UNAIDS,2006,9,UNAIDS-WB-2006
UNAIDS,2006,8,UNAIDS-UNICEF-2006
UNAIDS,2006,6,UNAIDS-UNFPA-2006
UNAIDS,2006,6,UNAIDS-UNDP-2006
UNAIDS,2006,3,UNAIDS-GF-2006
UNAIDS,2007,7,UNAIDS-GF-2007
UNAIDS,2007,1,UNAIDS-WHO-2007
UNAIDS,2007,1,UNAIDS-UNFPA-2007
UNAIDS,2008,3,UNAIDS-GF-2008
UNAIDS,2008,1,UNAIDS-WHO-2008
UNAIDS,2009,10,UNAIDS-GF-2009
UNAIDS,2010,17,UNAIDS-GF-2010
UNAIDS,2010,8,UNAIDS-WHO-2010
UNAIDS,2010,3,UNAIDS-WB-2010
UNAIDS,2010,2,UNAIDS-UNDP-2010
UNAIDS,2010,2,UNAIDS-UNICEF-2010
UNAIDS,2010,1,UNAIDS-UNFPA-2010
UNAIDS,2011,11,UNAIDS-WHO-2011
UNAIDS,2011,4,UNAIDS-UNFPA-2011
UNAIDS,2011,4,UNAIDS-GF-2011
UNAIDS,2011,1,UNAIDS-UNICEF-2011
UNAIDS,2011,1,UNAIDS-UNDP-2011
UNAIDS,2012,7,UNAIDS-WHO-2012
UNAIDS,2012,7,UNAIDS-GF-2012
