source,target,value
GAVI1,KNOW,104
GF1,KNOW,63
UNAIDS1,KNOW,311
UNDP1,KNOW,344
UNFPA1,KNOW,445
UNICEF1,KNOW,449
WB1,KNOW,61
WHO1,KNOW,362
GAVI1,OPER,150
GF1,OPER,24
UNAIDS1,OPER,113
UNDP1,OPER,591
UNFPA1,OPER,441
UNICEF1,OPER,549
WB1,OPER,136
WHO1,OPER,238
GAVI1,FUND,21
GF1,FUND,13
UNAIDS1,FUND,41
UNDP1,FUND,369
UNFPA1,FUND,192
UNICEF1,FUND,178
WB1,FUND,59
WHO1,FUND,119
GAVI1,MONI,4
GF1,MONI,19
UNAIDS1,MONI,33
UNDP1,MONI,6
UNFPA1,MONI,48
UNICEF1,MONI,60
WB1,MONI,19
WHO1,MONI,55
GAVI1,MANA,20
GF1,MANA,40
UNAIDS1,MANA,54
UNDP1,MANA,19
UNFPA1,MANA,95
UNICEF1,MANA,70
WB1,MANA,19
WHO1,MANA,8
GAVI1,POLI,92
GF1,POLI,50
UNAIDS1,POLI,340
UNDP1,POLI,42
UNFPA1,POLI,333
UNICEF1,POLI,516
WB1,POLI,59
WHO1,POLI,214
GAVI1,LEGA,103
GF1,LEGA,86
UNAIDS1,LEGA,43
UNDP1,LEGA,38
UNFPA1,LEGA,35
UNICEF1,LEGA,22
WB1,LEGA,64
WHO1,LEGA,25
GAVI1,STAN,73
GF1,STAN,28
UNAIDS1,STAN,44
UNDP1,STAN,0
UNFPA1,STAN,26
UNICEF1,STAN,22
WB1,STAN,11
WHO1,STAN,25
KNOW,GAVI2,2
KNOW,GF2,50
KNOW,UNAIDS2,78
KNOW,UNDP2,273
KNOW,UNFPA2,116
KNOW,UNICEF2,369
KNOW,WB2,392
KNOW,WHO2,859
OPER,GAVI2,9
OPER,GF2,50
OPER,UNAIDS2,79
OPER,UNDP2,254
OPER,UNFPA2,158
OPER,UNICEF2,345
OPER,WB2,325
OPER,WHO2,1022
FUND,GAVI2,22
FUND,GF2,48
FUND,UNAIDS2,38
FUND,UNDP2,129
FUND,UNFPA2,81
FUND,UNICEF2,124
FUND,WB2,157
FUND,WHO2,393
MONI,GAVI2,0
MONI,GF2,3
MONI,UNAIDS2,5
MONI,UNDP2,32
MONI,UNFPA2,18
MONI,UNICEF2,47
MONI,WB2,53
MONI,WHO2,86
MANA,GAVI2,1
MANA,GF2,7
MANA,UNAIDS2,7
MANA,UNDP2,91
MANA,UNFPA2,27
MANA,UNICEF2,45
MANA,WB2,37
MANA,WHO2,110
POLI,GAVI2,5
POLI,GF2,55
POLI,UNAIDS2,62
POLI,UNDP2,215
POLI,UNFPA2,123
POLI,UNICEF2,299
POLI,WB2,275
POLI,WHO2,612
LEGA,GAVI2,18
LEGA,GF2,33
LEGA,UNAIDS2,32
LEGA,UNDP2,47
LEGA,UNFPA2,26
LEGA,UNICEF2,49
LEGA,WB2,92
LEGA,WHO2,119
STAN,GAVI2,0
STAN,GF2,5
STAN,UNAIDS2,12
STAN,UNDP2,14
STAN,UNFPA2,9
STAN,UNICEF2,51
STAN,WB2,28
STAN,WHO2,110
